Song-Name,Singer/Artists,Genre
Chote Bade,"Ankit Tiwari, Mika Singh",Dance
Main Hoon Saath Tere,Arijit Singh,Romantic
Kabira,"Rekha Bhardwaj, Tochi Raina",Sad
Main Kaun Hoon,Meghna Mishra,Sad
Aashiq Surrender Hua,"Amaal Mallik, Shreya Ghoshal",Dance
Nachan Farrate,"Kanika Kapoor, Meet Bros",Dance
Pyar De Pyar Le,"Dev Negi, Ikka, Iulia Vantur",Dance
Do Peg Maar,Neha Kakkar,Dance
Tera Noor,Jyoti Nooran,
Jaanu,"Juggy D, Raftaar, Shivi",Dance
Hamdard,Arijit Singh,Romantic
Hawa Hawai 2.0,"Kavita Krishnamurthy, Shashaa Tirupati",Dance
Dhoom Dhadakka,"Antara Mitra, Shahid Mallya",Dance
Lovely,"Fateh, Kanika Kapoor, Miraya Varma, Ravindra Upadhyay",Dance
Mohabbat Nasha Hai,"Neha Kakkar, Tony Kakkar",Sad
Chal Wahan Jaate Hain,Arijit Singh,Romantic
Ishq De Fanniyar,Jyotica Tangri,Romantic
Palat Tera Hero Idhar Hai,Arijit Singh,DanceRomantic
Tab Bhi Tu,Rahat Fateh Ali Khan,Sad
Yeh Ladka Hai Allah,"Alka Yadnik, Udit Narayan",Dance
Tujhe Yaad Na Meri Aayee,"Alka Yagnik, Manpreet Akhtar, Udit Narayan",Sad
Jalte Diye,"Anwesshaa, Harshdeep Kaur, Shabab Sabri, Vineet Singh",Romantic
Zindagi Bana Loon,Palak Muchhal,Romantic
Humnava,Papon,Sad
Galliyan,Ankit Tiwari,Romantic
Tere Chehre Mein Woh Jaadu Hai,Kishore Kumar,Romantic
Golmaal Again Title Track,"Aditi Singh Sharma, Brijesh Shandilya",Dance
Suno Ganpati Bappa Morya,Amit Mishra,Dance
Dil Dene Ki Ruth,"Alka Yagnik, Vinod Rathod",Dance
Soch Na Sake,"Amaal Mallik, Arijit Singh, Tulsi Kumar",Romantic
Tu Meri,Vishal Dadlani,DanceRomantic
Baby Ko Bass Pasand Hai,"Badshah, Ishita, Shalmali Kholgade, Vishal Dadlani",Dance
Daddy Mummy,"Devi Sri Prasad, M. M. Manasi",Dance
Dekha Hazaro Dafaa,"Arijit Singh, Palak Muchhal",Romantic
Khatar Patar,Papon,Dance
Tu Mera Bhai Nahi Hai,"Gandhharv Sachdeav, Raftaar",
Party With The Bhoothnath,Yo Yo Honey Singh,Dance
Hasi,Ami Mishra,RomanticSad
Good Man Di Laaltein,"Sukhwinder Singh, Sunidhi Chauhan",Dance
Kaabil Hoon,"Jubin Nautiyal, Palak Muchhal",Romantic
Manali Trance,"Neha Kakkar, Yo Yo Honey Singh",Dance
Main Teri Dushman Dushman Tu,Lata Mangeshkar,Dance
Hafiz Hafiz,Mohit Chauhan,Romantic
Tere Jaisa Yaar Kahan,Kishore Kumar,
Daryaa,"Ammy Virk, Shahid Mallya",Sad
Chota Sa Fasana,Arijit Singh,
Main Adhoora,"Aakanksha Sharma, Yasser Desai",Sad
Aao Raja,"Neha Kakkar, Yo Yo Honey Singh",Dance
Haseeno Ka Deewana,"Payal Dev, Raftaar",Dance
Swag,"Brijesh Shandaliya, Pranaay",Dance
Ki Kariye Nachna Aaonda Nahin,"Hardy Sandhu, Neha Kakkar, Raftaar",Dance
Neele Neele Ambar par,Kishore Kumar,Dance
Choli Ke Peeche Kya Hai (Female),"Alka Yagnik, Vinod Rathod",Dance
Kitna Haseen Chehra,Kumar Sanu,Romantic
Girl I Need You,"Arijit Singh, Roach Killa",Romantic
Sanam Teri Kasam,Ankit Tiwari,Romantic
Kisi Din Banoongi Main,"Alka Yagnik, Udit Narayan",Dance
Laaj Sharam,"Divya Kumar, Enbee, Jasleen Royal",
Badan Pe Sitaare,Sonu Nigam,DanceRomantic
Menu Kehn De,Himesh Reshammiya,Sad
Bekhudi,"Aditi Singh Sharma, Darshan Raval",Romantic
Kun Faya Kun,"A.R. Rahman, Javed Ali, Mohit Chauhan",Dance
Balam Pichkari,"Shalmali Kholgade, Vishal Dadlani",Dance
Tinka Tinka Dil Mera,Rahat Fateh Ali Khan,Sad
Jaana Ve,Arijit Singh,Romantic
Shubh Din,"Keerthi Sagathia, Yotica Tangri",
The Disco Song,"Benny Dayal, Nazia Hassan, Sunidhi Chauhan",Dance
Nagada Sang Dhol,"Osman Mir, Shreya Ghoshal",Dance
Tune Mari Entriyaan,"Bappi Lahiri, K.K., Neeti Mohan, Vishal Dadlani",Dance
Ijazat,"Arijit Singh, Meet Bros",RomanticSensual
Tujhse Naaraz Nahi Zindagi,Anup Ghoshal,Sad
Pyar Kabhi Kam Nahi Karna,"Asha Bhosle, Bappi Lahiri",Romantic
Chikni Chameli,Shreya Ghoshal,Dance
Zaroorat,Mustafa Zahid,Sad
Bang Bang,"Benny Dayal, Neeti Mohan",Dance
Bulleya,Papon,Romantic
Barso Re,Shreya Ghoshal,Dance
Manwa Laage,"Arijit Singh, Shreya Ghoshal",Romantic
The Google Song,"Amaal Mallik, Armaan Malik, Neeti Mohan, Sonu Nigam, Tulsi Kumar",Dance
