Song Name,Artist,Genre
Never Love Again,Eminem,"detroit hip hop, hip hop, rap"
Woods,Mac Miller,"hip hop, pittsburgh rap, rap"
Farewell,Eminem,"detroit hip hop, hip hop, rap"
Everybody,Mac Miller,"hip hop, pittsburgh rap, rap"
Alfred - Interlude,Eminem,"detroit hip hop, hip hop, rap"
Little Engine,Eminem,"detroit hip hop, hip hop, rap"
"I Will (feat. KXNG Crooked, Royce Da 59"" & Joell Ortiz)",Eminem,"detroit hip hop, hip hop, rap"
Still Learning,Halsey,"dance pop, electropop, etherpop, indie poptimism, pop, post-teen pop"
Surf,Mac Miller,"hip hop, pittsburgh rap, rap"
Thats On Me,Mac Miller,"hip hop, pittsburgh rap, rap"
Once A Day,Mac Miller,"hip hop, pittsburgh rap, rap"
Big Drip,"Ufo361, Future","german cloud rap, german hip hop"
Hands,Mac Miller,"hip hop, pittsburgh rap, rap"
Dans lespace (feat. Heuss lEnfoiré),Gambi,"francoton, french hip hop, pop urbaine, rap francais"
Blanche,"Maes, Booba","francoton, french hip hop, pop urbaine, rap francais"
Vulnerable,Selena Gomez,"dance pop, pop, post-teen pop"
Dance Again,Selena Gomez,"dance pop, pop, post-teen pop"
Ring,Selena Gomez,"dance pop, pop, post-teen pop"
Crowded Room (feat. 6LACK),Selena Gomez,"dance pop, pop, post-teen pop"
People You Know,Selena Gomez,"dance pop, pop, post-teen pop"
Up All Night,Khalid,pop
Nice To Meet Ya,Niall Horan,"dance pop, pop, post-teen pop"
Into the Unknown,"Idina Menzel, AURORA",
Let Me Get Me,Selena Gomez,"dance pop, pop, post-teen pop"
A Sweeter Place (feat. Kid Cudi),Selena Gomez,"dance pop, pop, post-teen pop"
Stuck In A Dream (feat. Gunna),Lil Mosey,"melodic rap, rap, rap conscient, trap, vapor trap"
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,"dfw rap, melodic rap, rap"
Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,"melodic rap, rap, trap"
Start Wit Me (feat. Gunna),Roddy Ricch,"melodic rap, rap, trap"
Diamonds (with Normani),Megan Thee Stallion,"houston rap, pop, pop rap, trap queen"
Dont Call Me Up,Mabel,"dance pop, edm, pop, pop dance, post-teen pop, tropical house, uk pop"
Death,"Trippie Redd, DaBaby","melodic rap, rap, trap"
Calma - Remix,"Pedro Capó, Farruko","latin, latin pop, puerto rican pop"
Cut You Off,Selena Gomez,"dance pop, pop, post-teen pop"
Kinda Crazy,Selena Gomez,"dance pop, pop, post-teen pop"
2002,Anne-Marie,"dance pop, pop, pop dance, post-teen pop, tropical house, uk pop"
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,"dance pop, edm, electronic trap, pop, pop dance"
Family,"The Chainsmokers, Kygo","dance pop, edm, electropop, pop, pop dance, tropical house"
GANG GANG,"JACKBOYS, Sheck Wes","rap, trap"
Had Enough (feat. Quavo & Offset),Don Toliver,"rap, trap"
WHAT TO DO? (feat. Don Toliver),"JACKBOYS, Travis Scott","rap, trap"
"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
VALENTINO,24kGoldn,cali rap
"fuck, im lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv, 
Roller,Apache 207,german hip hop
Never Really Over,Katy Perry,"dance pop, pop, post-teen pop"
One Kiss (with Dua Lipa),Calvin Harris,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Fantasía,Ozuna,"latin, puerto rican pop, reggaeton, trap latino"
Trampoline,"SHAED, ZAYN","electropop, pop"
GATTI,"JACKBOYS, Pop Smoke, Travis Scott","rap, trap"
Candy,Doja Cat,"dance pop, pop"
JACKBOYS,JACKBOYS,"rap, trap"
Combatchy (feat. MC Rebecca),"Anitta, Lexa, Luísa Sonza","funk carioca, funk pop, pagode baiano, pop nacional"
Old Town Road,Lil Nas X,"lgbtq+ hip hop, pop rap"
Let Me Know (I Wonder Why Freestyle),Juice WRLD,"chicago rap, melodic rap"
Ne reviens pas,"Gradur, Heuss Lenfoiré","francoton, french hip hop, pop urbaine, rap francais"
New Rules,Dua Lipa,"dance pop, pop, uk pop"
Cheirosa - Ao Vivo,Jorge & Mateus,"sertanejo, sertanejo universitario"
Havana (feat. Young Thug),Camila Cabello,"dance pop, electropop, pop, post-teen pop"
Surtada - Remix Brega Funk,"Dadá Boladão, Tati Zaqui, OIK","brega funk, funk carioca"
Lover (Remix) feat. Shawn Mendes,Taylor Swift,"pop, post-teen pop"
