Series_Title,Runtime_of_Series,Certificate,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4
The Avengers,(1961–1969),,"Action, Comedy, Crime",8.3,A quirky spy show of the adventures of eccentrically suave British Agent John Steed and his predominately female partners.,Patrick Macnee,Diana Rigg,Honor Blackman,Linda Thorson
Brotherhood,(2006–2008),,"Crime, Drama",7.7,"Set in an Irish neighborhood in Providence, Rhode Island, the series reflects around two brothers on opposite sides of the law: one a gangster (Jason Isaacs) and the other a state politician (Jason Clarke).",Jason Isaacs,Jason Clarke,Annabeth Gish,Kevin Chapman
Beyond,(I) (2016–2018),,"Drama, Fantasy, Mystery",7,A young man wakes up from a 12 year coma to discover new abilities that come to propel him into the middle of a dangerous conspiracy.,Burkely Duffield,Dilan Gwyn,Jonathan Whitesell,Michael McGrady
Frisky Dingo,(2006–2008),,"Animation, Comedy, Sci-Fi",8.1,"A philandering billionaire playboy who moonlights as the superhero, Awesome X, faces against his greatest adversary, Killface, but finds balancing his business and superhero lives difficult.",Adam Reed,Eric Sims,Neal Holman,Stuart Culpepper
Finding Carter,(2014–2015),,Drama,7.5,A teenager finds out she was abducted as a toddler and returns to her biological family.,Kathryn Prescott,Cynthia Watros,Anna Jacoby-Heron,Alex Saxon
Food Wars: Shokugeki no Soma,(2015– ),13,"Animation, Comedy, Drama",8.2,Soma Yukihira enrolls in an elite culinary school to become a full-time chef and surpass his father's culinary skills.,Yoshitsugu Matsuoka,Minami Takahashi,Maaya Uchida,Ai Kayano
Haters Back Off!,(2016–2017),,"Comedy, Drama, Family",6,"The odd ball family life of Miranda Sings, an incredibly confident, totally untalented star on the rise who continues to fail upward by the power of her belief that she was born famous, it's just no one knows it yet.",Colleen Ballinger,Angela Kinsey,Francesca Reale,Erik Stocklin
Leave It to Beaver,(1957–1963),,"Comedy, Family",7.5,"The misadventures of a suburban boy, family and friends.",Jerry Mathers,Hugh Beaumont,Barbara Billingsley,Tony Dow
City on a Hill,(2019– ),15,"Crime, Drama, Thriller",7.5,"In early 1990s Boston, ADA Decourcy Ward forms an unlikely alliance with a corrupt venerated FBI veteran, Jackie Rohr. Together, they take on a case that changes the city's entire criminal justice system.",Kevin Bacon,Aldis Hodge,Mark O'Brien,Amanda Clayton
Army Wives,(2007–2013),,"Drama, Romance, War",7.3,Four women and one man share the common bond of loving someone in the U.S. Army.,Brian McNamara,Wendy Davis,Catherine Bell,Sterling K. Brown
Johnny Test,(2005–2014),,"Animation, Action, Adventure",5,"The adventures of average suburban boy Johnny Test, who wittingly plays test subject for his genius twin sisters' various experiments, reluctantly fighting evil villains in the process.",James Arnold Taylor,Maryke Hendrikse,Lee Tockar,Ashleigh Ball
New Amsterdam,-2008,,"Crime, Drama, Sci-Fi",7.4,A New York homicide detective is cursed with immortality.,Nikolaj Coster-Waldau,Zuleikha Robinson,Alexie Gilmore,Stephen McKinley Henderson
