Series_Title,Runtime_of_Series,Certificate,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4
Riviera,(2017– ),,"Drama, Thriller",6.7,A woman discovers her family's lifestyle has been funded by blood and seeks to protect herself and her loved ones.,Julia Stiles,Lena Olin,Dimitri Leonidas,Roxane Duran
Dads,(I) (2013–2014),,Comedy,5.5,Two successful guys in their 30's have their lives turned upside down when their nightmare dads unexpectedly move in with them.,Seth Green,Giovanni Ribisi,Brenda Song,Vanessa Lachey
Kuroshitsuji,(2008–2010),,"Animation, Action, Comedy",7.8,"A young boy sells his soul to a demon in order to avenge his family's death and successfully lead their influential toy manufacturing company. The demon takes the form of a loyal butler who's always dressed in black and is required to protect, serve and arrive whenever summoned by his young master Ciel.",Michael C. Pizzuto,J. Michael Tatum,Brina Palencia,Daisuke Ono
Dirt,(2007–2008),,Drama,6.9,A tabloid editor and her photographer try to make their way in the world of celebrity journalism.,Courteney Cox,Ian Hart,Josh Stewart,Alexandra Breckenridge
Bill Nye Saves the World,(2017–2018),,"Comedy, Talk-Show",3.6,Scientist Bill Nye explores various problems and misconceptions from a scientific point of view.,Bill Nye,Karlie Kloss,Rachel Bloom,Zach Braff
"Luchshe, chem lyudi",(2018–2019),13,"Drama, Sci-Fi",7.4,"A family on the brink of splitting up become the owners of a cutting-edge robot being sought by a corporation, homicide investigators and terrorists.",Paulina Andreeva,Kirill Käro,Aleksandr Ustyugov,Olga Lomonosova
Kojak,(1973–1978),,"Action, Crime, Drama",7.1,"A bald, lollipop sucking police detective with a fiery righteous attitude battles crime in his city.",Telly Savalas,Dan Frazer,Kevin Dobson,George Savalas
Lost in Space,(1965–1968),,"Adventure, Comedy, Family",7.3,A space colony family struggles to survive when a spy/accidental stowaway throws their ship hopelessly off course.,Guy Williams,June Lockhart,Mark Goddard,Marta Kristen
Beetlejuice,(1989–1991),,"Animation, Adventure, Comedy",7.3,"Adventures of the ghostly con-artist and his 12-year-old pal, Lydia.",Stephen Ouimette,Alyson Court,Tabitha St. Germain,Elizabeth Hanna
Avengers Assemble,(2013–2019),PG,"Animation, Action, Adventure",7,The further adventures of the Marvel Universe's mightiest general membership superhero team.,Roger Craig Smith,Troy Baker,Fred Tatasciore,Travis Willingham
AJ and the Queen,-2020,,"Adventure, Comedy, Drama",7.5,"Ruby Red, a down-on-her-luck drag queen traveling across America, develops an unlikely sidekick named AJ.",RuPaul,Izzy G.,Michael-Leon Wooley,Josh Segarra
Jonathan Creek,(1997–2016),,"Comedy, Crime, Drama",8.1,"Working from his home in a converted windmill, Jonathan Creek is a magician with a natural ability for solving puzzles. He soon puts this ability to the use of solving impossible crimes and mysterious murders.",Alan Davies,Caroline Quentin,Stuart Milligan,Julia Sawalha
Xiaolin Showdown,(2003–2006),,"Animation, Action, Adventure",7.5,A young Xiaolin monk named Omi with a giant yellow head leads a trio of other students to collect powerful items known as Shen Gong Wu while battling the evil Jack Spicer who is also after the artifacts,Jeff Bennett,Danny Cooksey,Grey Griffin,Tom Kenny
Cory in the House,(2007–2008),,"Comedy, Family",5.1,"Cory Baxter moves to the White House in Washington, DC when his father Victor, is named the new personal White House chef of the President.",Kyle Massey,Jason Dolley,Maiara Walsh,Madison Pettis
Divorce,(2016–2019),,"Comedy, Drama",6.8,"A couple goes through a long, drawn-out divorce.",Sarah Jessica Parker,Thomas Haden Church,Molly Shannon,Talia Balsam
Tidelands,-2018,18,"Crime, Drama, Fantasy",7,"After an ex-con returns to her fishing village, a dead body leads her to uncover the secrets of the town and its half-siren, half-human residents.",Charlotte Best,Marco Pigossi,Aaron Jakubenko,Mattias Inwood
Ed,(2000–2004),,"Comedy, Drama",7.5,"A separated, fired NYC lawyer returns to his hometown in Ohio, meets old high school friends and cute crush, buys a bowling alley and opens a law office in it.",Tom Cavanagh,Julie Bowen,Josh Randall,Jana Marie Hupp
The View,(1997– ),,Talk-Show,2.6,A panel of four women discuss news and politics.,Whoopi Goldberg,Joy Behar,Virginia Hamilton,Sunny Hostin
Abhay,(2019– ),U,"Crime, Thriller",7.8,"Abhay Pratap Singh, the gutsy cop who can outwit any criminal, is back. Only this time, he is up against some sharper and hardened evil masterminds. Join him as he sets out on the road to justice with a darker and edgier.",Kunal Khemu,Ratnesh Mani,Sandeepa Dhar,Pratyaksh Panwar
"Yes, Dear",(2000–2006),,Comedy,7,"Yes, Dear is a comedy about two young couples and their outrageously contrasting views on parenting.",Anthony Clark,Liza Snyder,Jean Louisa Kelly,Mike O'Malley
Duck Dodgers,(2003–2005),,"Animation, Short, Action",7.8,"Animated science fiction series based on the alter ego of Looney Tunes star Daffy Duck, the semi-heroic, yet incompetent, space Captain Duck Dodgers.",Joe Alaskey,Bob Bergen,Richard McGonagle,Michael Dorn
The Royle Family,(1998–2012),,Comedy,8.1,A British sitcom about a family going through everyday life in the Royle family house.,Ricky Tomlinson,Sue Johnston,Caroline Aherne,Craig Cash
Patriot Act with Hasan Minhaj,(2018–2020),18,"Comedy, News, Talk-Show",8.3,"In this weekly show, the former Daily Show correspondent Hasan Minhaj brings his unique comedic voice and storytelling skill to explore the larger grim trends shaping our fragmented world.",Hasan Minhaj,Joyelle Johnson,Arnab Goswami,Andrew Yang
Smoke,(2018–2019),Not Rated,Thriller,8.5,"Set in Goa, Smoke explores the dark web of drugs, mafia, and power. With the cartels at war, who will survive?",Jim Sarbh,Kalki Koechlin,Mandira Bedi,Gulshan Devaiah
Lark Rise to Candleford,(2008–2011),,"Drama, Romance",8.1,"An adaptation of Flora Thompson's autobiographical novel ""Lark Rise To Candleford"", set in 19 century Oxfordshire, in which a young girl moves to the local market town to begin an apprenticeship as a postmistress.",Olivia Hallinan,Sarah Lancashire,Julia Sawalha,Fergus Drysdale
Matlock,(1986–1995),,"Crime, Drama, Mystery",7,"Ben Matlock is a very expensive criminal defense attorney, who charges one hundred thousand dollars to take a case. Fortunately, he's worth every penny, as he and his associates defend his clients by finding the real killer.",Andy Griffith,Linda Purl,Kene Holiday,Nancy Stafford
How It's Made,(2001– ),,Documentary,7.8,Television series that documents how various everyday products are made.,Brooks T. Moore,Tony Hirst,Lynne Adams,Lynn Herzeg
Powerless,-2017,,"Comedy, Fantasy, Sci-Fi",6.4,"Follow the staff of an insurance company, specialising in products to protect defenseless bystanders from the collateral damage of Superheroes and Supervillains.",Vanessa Hudgens,Danny Pudi,Christina Kirk,Ron Funches
Dynasty,(1981–1989),,"Drama, Romance",6.3,"The trials and tribulations of two feuding families, the Carringtons and the Colbys, both oil rich families in Denver, Colorado.",John Forsythe,Linda Evans,Joan Collins,Gordon Thomson
"Love, Victor",(2020– ),,"Comedy, Drama, Romance",8.1,"Victor is a new student at Creekwood High School on his own journey of self-discovery, facing challenges at home, adjusting to a new city, and struggling with his sexual orientation.",Michael Cimino,Rachel Hilson,Anthony Turpel,Bebe Wood
Toast of London,(2012– ),,Comedy,8.2,"Steven Toast, an eccentric middle aged actor with a chequered past, spends more time dealing with his problems off stage than performing on it",Matt Berry,Robert Bathurst,Doon Mackichan,Shazad Latif
Superjail!,(2007–2014),,"Animation, Comedy, Crime",7.7,"In a surreal world, a large maximum security prison, which houses thousands of dangerous inmates is run by an eccentric warden and his equally odd staff.",David Wain,Teddy Cohn,Christopher McCulloch,Christy Karacas
Origin,-2018,A,"Horror, Sci-Fi",7.1,A group of strangers struggle for survival aboard a spaceship heading to a distant planet.,Natalia Tena,Tom Felton,Sen Mitsuji,Nora Arnezeder
Young Wallander,(2020– ),16,"Crime, Drama, Mystery",6.8,Follow recently graduated police officer Kurt Wallander as he investigates his first case.,Adam Pålsson,Yasen Atour,Leanne Best,Richard Dillane
Vratice se rode,(2007–2008),,"Comedy, Crime, Drama",8.9,"A story of two friends and petty thieves trying to make a living, but failing in every possible way.",Nikola Djuricko,Dragan Bjelogrlic,Srdjan 'Zika' Todorovic,Ljubomir Bandovic
Nash Bridges,(1996–2001),,"Action, Crime, Drama",6.8,"A smart alecky San Francisco, California cop and his get rich quick scheme of a partner keep tabs on crime and take down the bad guys in the Bay Area.",Don Johnson,Cheech Marin,Jodi Lyn O'Keefe,Jeff Perry
The Flash,(1990–1991),,"Action, Crime, Fantasy",7.2,"A police forensic scientist, Barry Allen, battles crimes as the super-fast superhero ""The Flash"".",John Wesley Shipp,Amanda Pays,Alex Désert,Vito D'Ambrosio
Laverne & Shirley,(1976–1983),,"Comedy, Family",6.9,The misadventures of two single women in the 1950s and '60s.,Penny Marshall,Cindy Williams,David L. Lander,Eddie Mekka
Diagnosis Murder,(1993–2001),,"Crime, Drama, Mystery",6.8,"Dr. Mark Sloan has a knack for getting into trouble, negotiating the twists and turns of mysteries and solving crimes with the help of his son, Steve, a homicide detective.",Dick Van Dyke,Barry Van Dyke,Victoria Rowell,Charlie Schlatter
Unsolved,(2018– ),,"Biography, Crime",7.9,A scripted true crime series based on the murder investigations of Tupac Shakur and Biggie Smalls.,Josh Duhamel,Bokeem Woodbine,Wavyy Jonez,Marcc Rose
Turn Up Charlie,-2019,18,Comedy,7.1,"Charlie, a struggling DJ and eternal bachelor is given a final chance at success when he reluctantly becomes a nanny to his famous best friend's problem-child daughter.",Idris Elba,Piper Perabo,Frankie Hervey,Shaheen Ramdiane
Instinct,(2018–2019),,"Crime, Drama, Mystery",6.6,"A former CIA operative (Cumming), who has since built a ""normal"" life as a gifted professor and writer, is pulled back into his old life when the NYPD needs his help to stop a serial killer on the loose.",Alan Cumming,Bojana Novakovic,Daniel Ings,Michael B. Silver
God Friended Me,(2018–2020),All,"Comedy, Drama, Fantasy",6.9,An atheist's life is turned upside down when God adds him as a friend on Facebook.,Brandon Micheal Hall,Violett Beane,Suraj Sharma,Javicia Leslie
Man v. Food,(2008– ),,Reality-TV,7.3,"Host Adam Richman (and subsequently Casey Webb) travels around the U.S., taking on a variety of local eating challenges involving meal size, spiciness and other daunting factors.",Adam Richman,Casey Webb,Joey Chestnut,Gladys Knight
Emily Owens M.D.,(2012–2013),,"Comedy, Drama, Romance",7.5,A young doctor realizes that working as an intern in a big hospital is very much the same as being in high school.,Mamie Gummer,Justin Hartley,Aja Naomi King,Michael Rady
Tokyo Ghoul: re,-2018,18,"Animation, Action, Drama",6.9,"Two years have passed since the CCG's raid on Anteiku. Although the atmosphere in Tokyo has changed drastically due to the increased influence of the CCG, ghouls continue to pose a problem ...                See full summary »",Natsuki Hanae,Austin Tindle,Adam Gibbs,Mikaela Krantz
W - Du gaeui segye,-2016,16,"Drama, Fantasy, Romance",8.1,A love story between a couple in their early thirties. They belong to the same era but alternate realities.,Han Hyo-joo,Lee Jong-Suk,Jeong Eu-Gene,Eui-sung Kim
DuckTales,(2017–2021),,"Animation, Action, Adventure",8.3,"The comedy-adventure series chronicles the high-flying adventures of trillionaire Scrooge McDuck, his grandnephews - Huey, Dewey, and Louie - and temperamental nephew Donald Duck, Launchpad McQuack, Mrs. Beakley, and her granddaughter Webby.",David Tennant,Ben Schwartz,Danny Pudi,Bobby Moynihan
Primal,(2019– ),,"Animation, Action, Adventure",8.7,A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,Aaron LaPlante,Tom Kenny,Jon Olson,Laëtitia Eïdo
A Touch of Frost,(1992–2010),,"Crime, Drama, Mystery",7.8,"DI Jack Frost is an unconventional policeman with sympathy for the underdog and an instinct for moral justice. Sloppy, disorganized and disrespectful, he attracts trouble like a magnet.",David Jason,Bruce Alexander,John Lyons,Arthur White
The Fall Guy,(1981–1986),,"Action, Adventure, Comedy",7.1,The adventures of a film stuntman who moonlights as a bounty hunter when movie work is slow.,Lee Majors,Douglas Barr,Heather Thomas,Markie Post
Karppi,(2018–2020),16,"Crime, Drama, Mystery",7.2,"When Sofia Karppi discovers the body of a young woman on a construction site, she triggers a chain of events that threatens to destroy her life again.",Pihla Viitala,Lauri Tilkanen,Mimosa Willamo,Noa Tola
Bang Baang,(2021– ),18,"Action, Thriller",7.2,"Raghu faces the biggest test of his life when he is a prime suspect in a high-profile murder case. Meera, his ex girlfriend is closing onto him at the same time. Will the truth prevail or will the case get more murkier?",Ruhi Singh,Mr. Faisu,Aman Gandotra,Shataf Figar
Squidbillies,(2005– ),,"Animation, Comedy",6.5,"Follows the adventures of the Cuylers, an impoverished and dysfunctional family of anthropomorphic, air-breathing, redneck squids who live in a rural Appalachian community in the state of Georgia.",Bobby Ellerbee,Unknown Hinson,Dana Snyder,Daniel McDevitt
Hart to Hart,(1979–1984),,"Action, Adventure, Crime",6.6,The globe-trotting adventures of amateur detectives Jonathan and Jennifer Hart.,Robert Wagner,Stefanie Powers,Lionel Stander,Lee Wilkof
Rake,(2010–2018),18,"Comedy, Drama",8.5,"Criminal lawyer Cleaver Greene defends the indefensible - from bigamists to cannibals and everything in between. He is champion of the lost cause, both in the court room and in the bedroom.",Richard Roxburgh,Matt Day,Kate Box,Caroline Brazier
Durarara!!,-2010,,"Animation, Comedy, Crime",7.9,"Tired of his mundane life, Mikado Ryugamine decides to move to Ikebukuro, a district in Tokyo, when a friend invites him. With everything from invisible gangs to rumored beings, Ikebukuro is full of connected mysteries where people's pasts intertwine with the present.",Brian Beacock,Johnny Yong Bosch,Doug Erholtz,Crispin Freeman
Kiralik Ask,(2015–2017),,"Comedy, Romance",7.1,"When Defne's brother gets into debt and is held captive, Defne is forced to accept an offer in exchange for the money. She has to make omer, a wealthy shoe designer who owns a company, fall in love with her and marry her.",Elçin Sangu,Baris Arduç,Salih Bademci,Nergis Kumbasar
Thundercats,(2011–2012),,"Animation, Action, Adventure",7.8,"After his home kingdom is destroyed by the ancient devil priest Mumm-Ra, the young Thundercat Lord Lion-O leads a team of survivors as they fight evil on Third Earth.",Will Friedle,Matthew Mercer,Kevin Michael Richardson,Emmanuelle Chriqui
Wrecked,(2016–2018),,"Action, Adventure, Comedy",7.3,"When a plane crashes on a deserted island on the way to Thailand, the remaining survivors of the crash struggle to get along and heads clash as they have differing views on how to stay alive and how they will get off the island.",Zach Cregger,Asif Ali,Brian Sacca,Ally Maki
Accidentally on Purpose,(2009–2010),,"Comedy, Romance",6.3,"Billie, 37, breaks up with her boss at the newspaper and gets pregnant with Zack, 22, who now lives in her apartment. They both have their pals.",Jenna Elfman,Jon Foster,Ashley Jensen,Lennon Parham
